评论人,时间,内容
hellogorgeousdesign,2018-02-01,First film of the day 🎟🍫🥤🎬 #thecommuter #liamneeson #meerkatmovies #odeon #cardiffbay
arnie3001,2018-02-01,#thecommuter #sterkinekor #datenight #chill
agrandquiet,2018-02-01,Liam Neeson doing his thing in Jaume Collet-Serra’s The Commuter. Read my review on grandquiet.com #film #cinema #review #thecommuter
binge_panda,2018-02-01,Which movies did you see this month? #Insidious: #TheLastKey #MollysGame #ThePost #ProudMary #MaryandtheWitchsFlower #TheCommuter #DenofThieves #MazeRunner: #TheDeathCure ↓ ↓ *Binge your way out of boredom* ↓ ↓ __________▫⚪▫⚪ Follow ⚪▫⚪▫__________ ▂▃▄▓▒░@binge_panda ░▒▓▄▃▂ ______●▬▬▬▬▬๑۩۩๑▬▬▬▬▬●______ ↓ ↓ For more movie related Content follow @bingepanda ↓ ↓ #binge_panda ↓ #Comics #InfinityWar #Spiderman #Ironman #Hulk #Thor #CaptainAmerica # #Vision #Antman #Punisher #Marvel
tandydemonium,2018-02-01,#jonathanbanks #breakingbad #bettercallsaul #mikeehrmantraut #gremlins #beverlyhillscop #airplanemovie #horriblebosses2 #mudbound #thecommuter #incredibles2 #skylandersacademy #modernfamily #csi #csimiami #dexter #littlehouseontheprairie
neesonland,2018-02-01,New 💖❤️ #thecommuter #liamneeson
liamneesonisthelove,2018-02-01,"Liam was wonderful in these two films. Better yet, when he shows up. I hope there will be more movies, so he can show up a lot. #liamneeson #thecommuter #markfelt"
movies_of_the_future,2018-01-31,"#EmilyBlunt has officially boarded the cast alongside #DwayneJohnson in #Disney's #JungleCruise movie. The mouse house is hoping for this theme-park ride adaptation to be their next #PiratesOfTheCaribbean. Director #JaumeColletSerra (#Unknown, #NonStop, #RunAllNight, #TheShallows, #TheCommuter) is helming and he has a big task ahead of him. The movie is aiming for a 2019 release date. Will it be too similar to #TheRock's recent #Jumanji movie?"
jiye0njiye0n,2018-01-31,- #커뮤터 #TheCommuter #커뮤터리뷰 - - 리암니슨은 건재하다?! 그의 액션은 인정 할만한.. 하지만 예전처럼 마냥 즐기려니 조금은 안쓰러울 지경이다 이젠 몸 좀 사리시는게.... - - 초반의 긴장감을 잘 끌고 갔더라면 좋았을... 증인을 찾아 가는 과정은 나름 흥미진진했는데 증인을 찾고 나서 부턴 그래요~ 그럴줄 ~ 하게 되는... 리암니슨의 노익장 액션 투혼 본 것에 만족을.. 근데 이거 속편 나올 기세네... - - 감독 - #자움콜렛세라 출연 - #리암니슨 #베라파미가 #패트릭윌슨 - - #영화 #무비 #movie #film #영화리뷰
rottentomatoes,2018-01-31,Which movies did you see this month? #Insidious: #TheLastKey #MollysGame #ThePost #ProudMary #MaryandtheWitchsFlower #TheCommuter #DenofThieves #MazeRunner: #TheDeathCure
cinemaspoprd,2018-01-31,Aprovecha hoy miércoles el #UltimoDia #thecommuter el pasajero disponible en Pop Cinemas tanda de $100 pesos 10:15 P.M.
movietimegram,2018-01-31,"Новый трейлер триллера с Лиамом Нисоном «Пассажир». 🎬 Возвращаясь с работы домой, бизнесмен невольно оказывается втянутым в преступный заговор, который ставит под угрозу не только его собственную жизнь, но и тех, кто находится рядом с ним. 📺 Премьера 8 марта. 🔍 #TheCommuter #LiamNeeson #VeraFarmiga #PatrickWilson #ЛиамНисон #Пассажир"
neesonland,2018-01-31,My king 💖💖 #thecommuter #liamneeson
tasha0louise,2018-01-31,*NEW BLOG POST* My new blog post is live! My Review of Liam Neesons The Commuter! Link in bio! . . . . . . . . #movieblogger #moviereview #moviereviews #omniplex #liamneeson #thecommuter #clapperboard #movieprops #verafarmiga #patrickwilson #samneill #actionmovie #belfastblogger #irishblogger #cinematic #shinyhappybloggers #cinemalover #moviecollector
cinemaspoprd,2018-01-31,Aprovecha hoy miercoles el #UltimoDia #thecommuter el pasajero disponible en Pop Cinemas tanda de $100 pesos 10:15 P.M.
cathmoth_sw,2018-01-31,Cinema snacks! Only 4.5 syns for the crisps 😁 #cinema #thecommuter #vue #slimmingworld #snacks
shikuarikume21,2018-01-31,"Baru terkabul ngajak adk nnton, biasanya untuk sendiri.. 😅😅 #thecommuter #layarkaca21 #transmartrungkut"
standby_q_,2018-01-31,"#커뮤터 #영화스타그램 . . - #리암니슨 의 액션은 여전하다. 즉 발전은 없을 수 있지만, 유지하는 것도 사실 대단하다. 액션 영화에서 가장 중요한 것은 역시 주인공 캐릭터의 매력인데, 리암니슨은 하나의 공식처럼 믿고 본다. . - 액션 영화를 만들려면 이 영화의 각본이랑 연출을 그대로 따라만 해도 망하지는 않을 것 같다. 나름 잘 짜여진 스토리가 지루할 틈이 없고, 감독은 정말 영리하게 우리의 눈과 시간을 훔친다. . - 초반에는 편집이, 중반에는 연출과 촬영이, 후반에는 각본이 돋보인다. #자움콜렛세라 와 리암니슨이 다시 한 번 액션을 만든다면(비행기, 기차에 이어서 이번엔 배?), 난 또 보고 있을 것 같다. . - 영화를 평가할때 감독의 의도가 영화를 통해 얼마나 잘 전달되는가를 가장 중요하게 따진다면, 나는 이 영화에 망설임 없이 높은 점수를 주고싶다. 액션 영화는 그냥 이렇게 스릴 넘치면 되는것이다. . - #평점 : 7 . . . . #영화 #무비스타그램 #무비 #액션영화 #최신영화 #영화추천 #추천영화 #영화감상 #영화리뷰 #영화관람 #영화평 #영화후기 #추천 #감상 #후기 #리뷰 #영화스타그램🎬 #무비스타그램🎬 #movie #cinema #thecommuter #moviestagram #무비스크그램"
weian.chen.79,2018-01-31,下班後的小確幸 Go to see a movie #西門國賓 #疾速救援 #thecommuter #連恩尼遜 #liamneeson #myhero @hannahfff @mj905031 @imdavidku
mr_ikwan,2018-01-31,pay for a movie plus a transportation worth it #TheCommuter
mr_ikwan,2018-01-31,it's a boy time !!! have fun #TheCommuter
ac.rubn23,2018-01-31,Esta noche toca cine del que no da un respiro ;) #thecommuter
hawkeye40,2018-01-31,Odeon Limitless 114 was The Commuter. Did this film offer anything new?...No not really. Did I enjoy the ride?... Yeah I did. While it does suffer from being an inferior version of Non-Stop I was kept entertained at least till just before the end. No awards for this film and I wanted more of Vera Farmiga but this would be an ok Netflix way to watch on a Friday night. 6/10 from me. #thecommuter #thecommutermovie #liamneeson #verafarmiga #patrickwilson #samneill #jonathanbanks #elizabethmcgovern #deancharleschapman #odeonwrexham #odeon #odeonlimitless #movie #moviebuff #moviegeek #film #filmbuff #filmgeek #cinema #cinephile #action #drama #crime #jaumecolletserra
bosung_xxi,2018-01-31,#180127 생일콤보 뽜밤 🚇 #포토카드 #내사랑❤️
ste_vohumanah,2018-01-31,"New cineworld @ white rose / tough day at work, paid to see the commuter... love my job 😁👍 #working #cineworld #thecommuter #photobeforeitspiracy #leeds"
chris_dossantos,2018-01-31,January 2018 - Cinema Trips: 15 #allthemoneyintheworld B #thepost B+ #darkesthour B #thenutjob2nuttybynature D #threebillboardsoutsideebbingmissouri A- #thecommuter D+ #mazerunnerthedeathcure C #swingingsafari D #thefloridaproject A #itonya A+ #callmebyyourname C+ #thebbq F #padmaavat C+ #maryandthewitchesflower C+ #mollysgame B+ #hoytscinemas #eventcinemas #galacinema #greaterunion
kukamovietime,2018-01-31,"Judul : the commuter Tahun : 2018 So, this movie mirip2 sama The Murder On The Orient Express. Pemecahan misteri di dalam kereta gt. Cuma ya beda background ceritanya aja, klo film ini si tokoh utama mantan polisi yang sekarang jadi agen asuransi #nahloh. Dia kaya dijebak gt sampe mau gak mau harus mecahin misteri untuk nemuin orang didalam kereta. Bingung juga ngereviewnya gmn, karena yaaaaaa kalau gw kasih tau udh ketauan dong semua misteri nya yah. Hahaha Ya the point is, kita akan diajak turut bersama dia memecahkan misteri yang harus dia pecahkan sebelum pemberhentian kereta terakhir. Film ini punya misteri dan kesimpulan yang bagus dan sepanjang film juga di bumbui sedikit action. But eiiiiits, bukan sampai disitu aja, setelah misteri terpecahkan masih ada yang harus diselesaikan sampai habis. Akhir film ini sih bagus yah, gak ganjtung gt. Lumayan bikin gregetan dan nahan napas sih sepanjang film. Overall yap okelah yah mayan, greget greget ngeselin gimanaaaa gituuu. Eniwey, so sorry sempat lamaaaaa kaga absen muka di bioskop karena kmrn holidey dulu biar kaya orang-orang. #kukamovietime #moviereview #reviewfilm #thecommuter #thecommutermovie #filmmisteri #detektif #cinemaxxi #cinemaxxisummareconserpong"
_plum__plum_,2018-01-31,리암니슨표 #액션영화 이번에는 기차 버전😃 #킬링타임용 으로는 볼만하당! . . #영화 #혼영 #커뮤터 #thecommuter #리암니슨 #액션 #롯데시네마 #영화광 #혼영족 #영화스타그램
farmigafan101,2018-01-31,Joanna ❤️ #TheCommuter
jinah_sa,2018-01-31,. 가온이 유치원 보내고 나면 꼭해보고싶었던 아침데이트💕 이른아침이라 아무도 없고 우리 둘만있어서 더 좋았던 데이트😍 #조조영화#prestige #thecommuter #신랑은#영화통역사#ㅋㅋㅋ
caleb_woon,2018-01-31,My Wednesday’s night.... #shawtheatres #lido #movies #marathon #thegreatestshowman #thecommuter
hakaqmanees,2018-01-31,Petang² cuti raya plus hujan ni sedap kan duduk rumah makan biskut cicah air teh. Hehehe.. . #quotesbyhakaqmanees #hakaqmanees #teamedelweissohsem #teamedelweiss #edelstokis #edelagenshahalam #edelagenklang #mazerunner #thecommuter #ctdk
soyo__,2018-01-31,이제 리암 니슨 가족은 그만 건드리자 #커뮤터 #thecommuter #리암니슨
tonimuca,2018-01-31,". Someone does not bring a ticket... I don't know who you are... But I will look for you, I will find you, and I will kill you. (Inspired by the movie The Commuter, directed by Jaume Collet-Serra). 🚝🚃🚃🚃 #thecommuter #liamneeson #🔫 #cops #jaumecolletserra #iwillfindyou #iwillkillyou #noticket #actionmovies #thrillers #passengers #conspiracy #idontknow #artwork #artsy #inkstagram #inked #creative #creativity #mixedmedia #handmade #bodyart #markers #fictional #onthetrain #rodalies"
justkhaled,2018-01-31,The commuter was a very good movie.. #thecommuter #lovedit #century25
aiesyah90,2018-01-31,"Fuhh!! Done!!! Arini tgk ber2 👫 membazir 1 lg tiket (seyes, annoying!!!!) 🤦‍♀tp cite #theCommuter 🚄 mmg thorrrrbaik!! Awesome!! Terubat annoying sekejap 🤩Sis bg 10/10 🌟 🌟 🌟 🌟 🌟 sifat jujur, ksih syg 👪, empathy yg tinggi, aksi, IQ, EQ, pengaruh org besar & lain² mmg ckup garapan dlm 1 movie ini #the🚄 mmg awesome!! 😍 Filem wajib tonton 2018"
terijh,2018-01-31,"#InstaVlog Day 487 $5 Movie with friends awe|struckediting Daily Insta #Vlog: just a little thriller with Jenna, Jade and Liam. ;) SUBSCRIBE ON YOUTUBE **LINK IN BIO** . . . . . #awestruckediting #justmakesomething #CREATEMORE #vlogging #dailyvlog #videoediting #onaniphone #Redlands #California #SouthernCalifornia #SoCal #movie #5dollarmovie #StudioMovieGrill #TheCommuter #LiamNeeson #ActionMovie #ThrillerMovie"
the_honest_usher,2018-01-31,"The Commuter Directed by: Jaume Collet-Serra Starring: Liam Neeson, Patrick Wilson, Vera Farmiga A man on his daily commute back home is approached by a stranger with a hypothetical preposition, and a reward that is not so hypothetical. The first thing of notice that makes this a clever and engaging ride is the editing and camerawork; films primarily set in one location can easily become repetitive and lack the ability to make the audience anticipate what will happen next. Here however the editing creates a quickened pace that moves the plot along and makes this film feel like its supposed to (a thriller). It also manages to convey visual story-telling in a way that is so effective it removes the need for exposition. The camerawork keeps the location from ever feeling too familiar, the varying use of close-ups and tracking wide shots are relevant to the mood of the protagonist; and this causes his motivations and inner conflicts to be easily displayed on-screen. Not that that would be an issue anyway, as Liam Neeson proves again that he is the best at playing an ""everyday-man"" who knows how to kick ass. The film has a strong cast, although most of the other actors and actresses feel like they are only in cameo roles next to Neeson, who to allow the narrative to work well, is mostly isolated for the majority of the film. The tension is well built and it comes from being able to easily draw empathy from Neeson's performance; that is his best since Taken. The narrative proceeds logically although it bares a lot of noticeable similarities to other films (many of which I can't mention because...spoilers) but despite this it manages to be better than the films it either draws inspiration from or is coincidentally parallel to. The only negative to be seen is the fact that Neeson's character appears to have John McClane syndrome, and can be put through a lot more physical trauma than what you would expect of a man of his age, it doesn't detract from the fun of watching Neeson in action again but it is rather prevalent, and does have an impact on the validity of the character. Overall, a fast and cleverly put-together train ride that gives plenty to think about. 9/10"
ddecker2012,2018-01-31,#thecommuter
liamneeson152,2018-01-31,Behind the scene #TheCommuter
scaremiga,2018-01-31,We watched #thecommuter with @verafarmiga yesterday... This movie is not very good but still ok... (@verafarmiga was the reason why we watched this movie xD) . . . . . #the #commuter #Film #cinema #Vera #farmiga #verafarmiga
idanialivas,2018-01-31,Movies with the crazy boy #thecommuter #cinema
joyce_cychew,2018-01-31,What kind of person you are 🤔🤔 #thecommuter #Wednesday #movieday
mrsrazorrob,2018-01-31,💏#datenight at the #movies 🎥🎞 It’s what we do....💏👫❤️
encorefilmsmal,2018-01-31,"""Someone on this train's gonna kill them."" #TheCommuter is now showing in IMAX and cinemas islandwide."
g_need,2018-01-31,#커뮤터 #야탑cgv 나이에 맞지않은 강렬한 액션 보여주심 내용도 별생각 없이본다면 나쁘지 않음 범인이 주인공을 압박하기위한 수단이라지만 사건을 스스로 크게 벌림 구지 크게 안버릴고 조용히 스스로 해결가능함에도 ㅋㅋㅋ #thecommuter
putso_crack,2018-01-31,"""⭐️⭐️⭐️"" #thecommuter"
whyvonne81,2018-01-31,#lategram #solomoviedate #treatyoself #thecommuter #cinemark first solo movie experience ❤🍿🎬
fandango,2018-01-31,Which movies did you see this month? #insidious: #TheLastKey #TheCommuter #ProudMary #Paddington2 #12Strong #MazeRunner: #TheDeathCure
whosereview,2018-01-31,"Our newest review for the Liam Neeson blockbuster, The Commuter, about a businessman that gets caught up in a criminal conspiracy during his daily commute home, is up on our YouTube Channel now! Link to our channel in our bio. . . #whosereview #moviereview #filmreview #movie #film #review #thecommuter #commuter #commute #liamneeson #verafarmiga #academyaward #goldenglobes #oscar #oscars #rottentomatoes #metacritic #nyc#newyork #newyorkcity #la #losangeles #hollywood #critic #critical #action #suspense #train"
framereel,2018-01-31,"Next on the Liam Neeson's Transportation Conspiracy! THE COMMUTER Commuting isn't the most fertile source for interest when it comes to a movie, it's about a boring routine that you passionlessly do to get from point A to B. This film emulates all the thrills of commuting and resolves to meld them to an unnecessarily complicated plot. And, you know, it can be nice to take the train for the first time but once you've done it several times, it stops being refreshing. As so, if you see the same movie played out with slight differences over the course of a year, you lack that feeling of renewal - that's why John Wick's film are so appreciated, they bring something new. After having seen Non Stop and Run All Night, you can't help to be indifferent to the same actor-director combination, specially when the cuts, characters and plot feel the same, Jaume Collet-Serra's storyboard decisions feel the same and even the colour grading seems to gloom across all this transportation method trilogy. However, although it's completely uneventful, I didn't dislike The Commuter. There's a security in a commute like this where the elements are so played out that they are bound to work. Furthermore, there is one shot that is incredibly good and there is actual tension built around a premise, which many action films fail to do. It's like going to work in an office, it's a service and in this case, enough has been done to make it serviceable. It's incoherent but it has a lot of personal style, it's cookie-cutter but it is sufficiently well put together to make you actually care and feel some suspense for what's going to happen next. It's no Unstoppable or (for Hitchcock's sake) Strangers on a Train, but its main strength comes from the realization that the movie consists on seemingly one-trick pony of a star kicking ass in yet another mode of transport. #thecommuter #liamneeson #verafarmiga #filmreview #filmcritic"
alekos313,2018-01-31,🍿📽🚊 #actor #cinema #film #films #flick #goodmovie #hollywood #instaflick #instamovies #movie #moviestar #star #theatre #me #friends #liamneeson #thecommuter
jkroble,2018-01-31,LRT? No. PNR. #thecommuter #streetphotography
jg24601,2018-01-31,Been waiting to watch this movie !! #thecommuter #liamneeson #verafarmiga #patrickwilson
l_ydi_a,2018-01-31,아니 뭐 이런 영화가 있냐고.. 박민경이랑 소리지르면서 봄... 사랑해요 리암👍🏾🖤 ⭐️⭐️⭐️⭐️⭐️ - #심야영화 #thecommuter #liamneeson
supercinemaceprano,2018-01-31,dal 1 al 6 #febbraio al #SupercinemaCeprano #LUomoSulTreno #orari 17.30 - 19.30 - 21.30 . . il #biglietto è di soli #5euro diretto dal #regista #JaumeColletSerra con #LiamNeeson #attore #VeraFarmiga #attrice distribuito da Eagle Pictures #film #cinema #azione #thriller #monosala #Ceprano #Frosinone #buonavisione #treno #pendolare #lavoro #psicologa #assicuratore #compagnidiviaggio #viaggio #destinazione #passeggero #TheCommuter
elrinconcillodereche,2018-01-31,"""El Pasajero"", nuevo filme de acción de Liam Neeson dirigido por Collet-Serra. Crítica pinchando el el enlace del blog en la bio"
rescuefinn,2018-01-31,Exploring new lands today... lands I have not yet peed on. #Manhattan #TheCommuter
tynthpixel,2018-01-31,I'm at the movies at 11PM almost no one here 😂 #tynthpixel #producer #producerlife #thecommuter #movies #pathe #action
news_just_model,2018-01-31,Новый дублированный трейлер триллера с Лиамом Нисоном «Пассажир». Премьера в РФ и Укр. намечена на 8 марта. #TheCommuter #LiamNeeson #VeraFarmiga #PatrickWilson #ЛиамНисон #Пассажир #visualart #losangeles #newyork #hollywood #photography #architecture #empirestate #hypebeast #la #aerial #travel #realestate #california
spnaddicted89,2018-01-31,Seeing the commuter with my dad and sister 😀😀 #thecommuter #liamneeson #cineworld
croydoncinemaclub,2018-01-31,Will there be good service for @thecommuterfilm or severe delays? Review coming soon 🙌 #thecommuter #film #liamneeson #oscars #baftas #cinema #2018 #filmreview #filmreviews #review #croydon #croydoncinema #croydoncinemaclub #club #movies #hollywood #actor #actress #director #filmindustry
gloryhmlv,2018-01-31,Me encantó! 🚉 #caribbeancinemas @caribbeancinemas #thecommuter #movietime #cine
divateen,2018-01-31,When the waiter in Frankie and Bennies ask if you have room for dessert? 😏 Nahh mate.. Its Popcorn time... 😜 #odeon #popcorn #thecommuter #liamneeson
cinemaspoprd,2018-01-31,Aprovecha el especial en esta película #thecommuter el pasajero en sus ultimos dias disponible en Pop Cinemas horario 10:15 P.M.
parrswoodent,2018-01-31,Don’t forget we have a bar @Cineworld #Parrswood #Didsbury #datenight #movienight #downsizing #thecommuter #jumanji and many more. 📽🎟🎟 #manchester
sargiespears,2018-01-31,🎥🎥🎥 #thegreatestshowman #hughjackman #thisisme #thecommuter #liamneeson #12strong #chrishemsworth #coco #pixar #disney #movies #films #cinema
cadernosdecinema,2018-01-31,#thecommuter 1°de Março nos cinemas. @imagemfilmes
elaledesevilla,2018-01-31,"Vamos a ver ""El pasajero (The commuter)"" el nuevo filme acción de Liam Neeson #thecommuter #jaumecolletserra #liamneeson #verafarmiga #movies"
janajiaa,2018-01-31,🌸30-2-18 “There will be a reward. Don’t leave the train before finding them. Don’t tell anyone about this offer.”-Joanna . . #whatathrillingmovie 🤨 . . . #thecommuter#liamneeson#通勤营救#追命列車 #janajiamoviediary
_red_shot_,2018-01-31,🎬 리암니슨의 가족을 건드리면... #커뮤터 #thecommuter
revistaspiral,2018-01-31,"Cartaz nacional de ""O Passageiro"" (The Commuter, 2018), filme dirigido por Jaume Collet-Serra e protagonizado por Liam Neeson. O filme estreia em 1º de março nos cinemas brasileiros, com distribuição da @imagemfilmes. #OPassageiro #TheCommuter #JaumeColletSerra #LiamNeeson #ImagemFilmes"
ask.malika,2018-01-31,Red carpet?! Why not :) #movietime Guys #thecommuter really is worth watching!
mr.jeomer,2018-01-30,#TheCommuter #Suspense #MovieTimeTuesday🎬 #OffTreats
cinemaspoprd,2018-01-30,Listos para partir: #TheCommuter disponible en #PopCinemas en horario 10:15 PM !!!
boraboraborbor,2018-01-30,믿고보는 리암니슨이라더니.. #TheCommuter 재밌었어유 영화 보여줘서 탱큐 루끄💚
kinoweltalfeld,2018-01-30,The Commuter mit Liam Neeson & Vera Farmiga Freitag & Samstag 23:30 Uhr FSK ab 12 Jahren frei #thecommuter #liamneeson #action #kino #kinoalfeld #kinoweltalfeld #alfeldleine #alfeld #leinebergland #lieblingskino
obfilmreviews,2018-01-30,"Here's a list of all the new releases that I watched this month with my ratings. 1) Three billboards outside ebbing, Missouri - 9/10 I heard a lot of great things about this but I wasn't expecting to love it as much as I did. This was the first film I watched in 2018, and I expect it to be in my top 5 come the end of the year. Frances Mcdormand and Sam Rockwell were brilliant and I expect them both to win Oscars. ----------------------------- 2) Molly's game - 8/10 I didn't know anything about Molly Bloom going into this, and I think that made me enjoy the movie more because I didn't know how things ended up for her. Jessica Chastain was brilliant and really owned the movie - there isn't anyone who would have been better cast. ----------------------------- 3)Coco - 8/10 It's definitely up there with being one of the better Disney films. I didn't know a lot about the Day of the Dead but having seen this I feel like it's given me a whole new outlook on death - I thought the movie did a great job showing off the culture and tradition. ----------------------------- 4)The Commuter - 7/10 Liam Neeson on public transport fighting to keep his family alive. You knew exactly what you're going to get and it didn't disappoint. ----------------------------- 5) The Post - 7/10 I thought it was well made and had great performances from Meryl Streep and Tom Hanks. However I found the actual story to be quite boring in parts ----------------------------- 6) 12 Strong - 7/10 Although the actual true story is unbelievable, I thought the film fell short of capturing this. However I thought the action scenes were great and it had some good performances, showing that they were just normal men that were sent to fight. ----------------------------- 7) Hostiles 6/10 Again another one with decent performances, and when there was action it was quite intense. However when there wasn't any action it felt quite dull and dragged on a bit longer than it needed to be ----------------------------- 8) Early Man - 3/10 I knew this would be shit and it didn't fail at that, was full of stupid accents that were there to make little kids laugh. I'm not even sure if I like football anymore"
wildandsons,2018-01-30,I hope people are enjoying The Commuter starring Liam Neeson which we were lucky enough to work on #wildandsons #thecommuter #liamneeson #film #actionfilm #cinema #blockbuster #policecar #dodge #charger #americancarspecialist #american @thecommuterfilm
collegetimesct,2018-01-30,105 minutes of a groggy Liam Neeson reading an old Metro Herald on a Luas. The Real Commuter. #TheCommuter #LiamNeeson
bthananon,2018-01-30,What kind of person are you? #TheCommuter
yenyen_0202,2018-01-30,#cgv 😊 #thecommuter
ozonecinemas,2018-01-30,#TheCommuter...NOW SHOWING @OzoneCinemas #SoMuchFun...🏃🏃🏃🏃🏃🏃🏃...#Movies #Movie #Fun #Cinemas #Cinema #TheOzoneExperience #SensationalFamilyExperience @TheCommuterFilm @Neeson_Liam @PatrickWilson73 @VeraFarmiga @Ecentre3 @OzoneCinemas
kyvs,2018-01-30,#thecommuter 🚃😆 @jianbe_
flikcinemas,2018-01-30,"The brilliant Liam Neeson staring in #TheCommuter as a businessman, caught up in a criminal conspiracy during his daily commute home. #lagoonamall#mirqabmall#cinema #cinemadoha#cinematickets #doha #liamneeson #nowshowing #booknow"
papa951122,2018-01-30,吃飽就是要看電影 Finished lunch and then see the movie #威秀 #電影 #疾速救援 #地表最強 #老爸 #連恩尼遜 #列車 #vieshow #movies #movie #thecommuter #strongest #father #dad #liamneeson #train
ullyrangkuti,2018-01-30,Mumpung masih tayang. 🎭🎥🎬 #movie #movienight #moviefreaks #cinema #cinemaxxi #bintaro #bintaroxchange #bxc #thecommuter #liamneeson
officially.lyniiviv,2018-01-30,"""What if I asked you to do something that could profoundly affect an individual on this train?"" #thecommuter #thriller #criminalconspiracy #action #lionsgate #studiocanal #liamneeson #jaumecolletserra #eventscinemas #sydney #australia #film #movie #screening #movieaddicts"
jcmgcmt,2018-01-30,Reflect :) #TheCommuter
lepioupiou,2018-01-30,#cine #cinema #cinedome #clermontferrand #auvergne #happy #fun #thepassenger #thecommuter #jaumecolletserra #liamneeson #verafarmiga #patrickwilson #film #samneill #elizabethmcgovern #jonathanbanks #florencepugh #andynyman #killianscott
josephine_augustin,2018-01-30,"Akirnya bisa nonton film dg pemeran salah satu aktor fave, Liam Neeson. Uda kuatir banget filmnya uda ilang dr bioskop. Berhubung rating D17+ akirnya ya nonton alone lagi. Ga masalah, uda biasa yg penting bisa nonton. Kira2 my two men ngapain ya 😁😁😁 #mybeautifullife #mymetime #movietime #thecommuter #xxi #amplaz"
ifilmofficial,2018-01-30,#TheCommuter Another Neeson’s one-dimensional protagonist who got everything on his hand. Collet-Serra kept tension in every turns for wacky entertaining ride! Rating : 3/5 #film #movie #hollywood #trailer . . #masterym
mijarosoft,2018-01-30,Movie times at Cinerama Chimbote: #thecommuter 🎬 🎥 📺 #liamneeson
itsstevedouglas,2018-01-30,⠀ ⠀ ⠀ ⠀ Movie night #TheCommuter w/ @julieracaza
encorefilmsmal,2018-01-30,Who is the true mastermind behind this dangerous game? Find out in #TheCommuter - now showing in IMAX and cinemas islandwide. Tickets: bit.ly/2r7eftD
aquariusman90,2018-01-30,#thecommuter #withfriend #movietime🎬
skylinedrivein,2018-01-30,Join us for a fun night out just like @josh.morris19 🍿 #Repost. ・・・ I had such a great time at the @skylinedrivein watching @mazerunnermovie!! What an amazing experience!! 😁🚙🎞🌌#mazerunner #skylinedrivein #outdoors #summerfun #movies . . . . . #jumanji #movie #fun #thecommuter #amazing #love #friends #datenight #retro #foodie #drive #sydney #good #food #foody #popcorn
brandonary31,2018-01-30,"🎥. 커뮤터!! 스피드, 폰부스, 테이큰.. 막 보임ㅋㅋ 조금 지루했지만 닥치고 리스펙트👍🏻. 어떤 차기작이 나올지 왜 또 기대가 되는지.. 아버님 건강하세요~😎👍🏻. . #Life #happy #Daily #OneDay #movie #cinema #movieoftheday #일상 #하루 #데일리 #영화 #무비 #시네마 #혼영 #커뮤터 #TheCommuter #리암니슨 #LiamNeeson #리스펙트 #respect"
cinemaambravalperga,2018-01-30,"""Altro giro, altra giostra!"" Per dare più scelta al nostro pubblico cambiamo cercando sempre di diversificare la nostra offerta. Solo giovedì la nostra rassegna culturale con l'ennesima gemma di Haneke; cineasta geometrico, cinico, necessario. Nell'altra sala l'adrenalinico thriller con lo specialista Liam Neeson; una donna misteriosa, un treno affollato, una corsa contro il tempo. Da venerdì recuperiamo l'ultima opera americana di Virzì con due protagonisti d'oltreoceano che da soli meritano il biglietto; un on the road atipico che solo il regista toscano poteva filmare. Domenica pomeriggio ancora un appuntamento con un papà particolare ed un figlio che lo scopre straordinario nella sua diversità; un'animazione europea capace di toccare un tema delicato con leggerezza e svago. Infine vi ricordiamo da giovedì a domenica in orari apertura cassa cinema la prevendita di ""50 sfumature di rosso"". The show must go on! ORARI SALA ""AMBRA UNO"" L'UOMO SUL TRENO Giovedì: ore 21.30 Venerdì: ore 21.30 Sabato: ore 21.30 Domenica: ore 17.30 - 21.30 ORARI SALA ""AMBRA DUE"" HAPPY END - Rassegna ""Cinema d'Essai"" -prezzo d'ingresso ridotto di 5€ per tutti Giovedì: ore 21.30 ELLA & JOHN Venerdì: ore 21.30 Sabato: ore 21.30 Domenica: ore 17.30 - 21.30 BIGFOOT JUNIOR Domenica: ore 15.30 #luomosultreno #thecommuter #liamneeson #Happyend #michaelhaneke #cinemadessai #bigfootjunior #cartoneanimato #ellaejohn #theleisureseeker #Virzi #paolovirzì #cinema #canavese #Ambra #cinemaambravalperga #weekend #movie"
flo_wx,2018-01-30,* #리암니슨 선생님이랑 #인친 하고싶은데 인스타를 안하시네..늙지마시고 계속 요런영화 찍어주셨으면 좋겠어요 #커뮤터 #thecommuter #liamneeson #일상 #주말 #영화관람 #CGV #수원 #뉴발란스키즈
nutlab,2018-01-30,#thelonesomecommuter #sunshineatlast #thecommuter
anitavantooster,2018-01-30,Goed begin van de vakantie! #shoppeninutrecht #shoppen #utrecht #bioscoopede #thecommuter #liamneeson
jongmoon2,2018-01-30,삶 그리고 방향 #TheCommuter
jeny10jt,2018-01-30,#tb #winterbreak #winter2018 #thecommuter #movie #cinema #thebest #mynails #greymatte #greynails #golden #rings #DKNYpurse#cairo #travel #adore #inlove #takingpics #love
madelane6001,2018-01-30,Making time for me @movie zone watching #thecommuter
brandonary31,2018-01-30,😎. 형님 액션 보러왔습니다!! ㅋㅋㅋ 잘 부탁드립니다!! . #Life #happy #Daily #OneDay #movie #cinema #movieoftheday #일상 #하루 #데일리 #영화 #무비 #시네마 #커뮤터 #혼영 #TheCommuter #리암니슨 #liamneeson
