评论人,时间,内容
ukbigandsmall2.0,2017-04-19,嚟緊都會推出唔同既優惠，唔想錯失任何既優惠就記得LIKE我地FB/ FOLLOW IG啦！ 打響頭炮既有PETER RABBIT，依幾日訂購平好多啊，睇岩就揾我地啦！ #newlookhk #英國代購 #彼得兔 #peterrabbit #bootea代購 #星戰 #peterrabbithk #starwarshk #tedbaker代購 #英國直送 #英倫 #jomalonehk #tsumtsumhk #hktsumtsum #hkdisney #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #newtsumtsum #disney代購 #迪士尼 #灰姑娘 #cinderellatsumtsum #美人魚 #彼得兔紀念幣 #紀念幣
orange__0105,2017-04-18,今日成品--高帽子喜餅，除了蛋捲，其他都OK👏👏👏 放在彼得兔鐵盒裡，美美的⋯附上老師做的，怎麼看都美 #喜餅 #高帽子 #彼得兔 #桔range
monstereaster,2017-04-16,GET! Thank u くまさん😍 #beatrixpotter #peterrabbit #theroyalmint #彼得兔 #彼得兔紀念幣 #coincollection #limitededition #beatrixpotter50p #交由🐻🐰國寶寶財政大臣保管
rachel.c.f,2017-04-16,Easter bunny #peterrabbit #coin #彼得兔
joeyz1987,2017-04-15,#彼得兔 #beatrixpotter
jiarongdeng,2017-04-14,#少女心 #小碎花 #彼得兔
hannah.16191,2017-04-13,🌧 很想使用但天氣越來越熱無法 拍張照讓我記得它在冬天再度來臨時 #當媽媽之後的魚的記憶 #還有一些禮物還沒整理 #彼得兔#防踢袖毯#peterrabbit#cute#baby #🍪🌼🐵🍯
sybildestiny,2017-04-13,#彼得兔#畫盤#art#plateart
schooldriver_shop,2017-04-12,"彼得兔一系列齊，每個杯上有個英文字母和不同圖案🍵🍵 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟 🍄School Driver潮流精品店🍄 ☀️查詢Wht""s app 62016567，不要Ig/Fb inbox (成日睇唔到sorry)。。。。。。。。。。。。。。。。。 ☀️總店：九龍灣淘大商場二期二樓S106A ☀️旺角新之城中心3樓307-308（旺角中心隔離） ☀️荃灣南豐中心2樓新之城K-Zone (扭蛋機隔離） ☀️荃灣愉景新城2樓U2067A(McDonald對面) ☀️銅鑼灣東角道24-26號東角laforet2樓231 (MTR D出口,sogo後面,金百利商場隔離） ☀️將軍澳TKO Gateway 二樓W125 ☀️大埔超級城2樓A區OS-5 ☀️深水埗西九龍中心5樓5k-271（對住扶手電梯） #精品 #hkig #hk #schooldriver #schooldrivershop #禮品 #好評 #現貨 #日本正版 #日本精品 #日本代購 #onlineshop #精品hk #訂造#畢業#畢業公仔#禮物#門市#警察#警察公仔#消防員公仔#海關公仔#入境處公仔#制服公仔#Tsum Tsum#peter#彼得兔#杯"
photosofbritain,2017-04-12,"⠀⠀⠀⠀⠀ 🇬🇧 Photo: @dan.thwaites 🇬🇧 _______________________________________ Good evening from the beautiful Lake District National Park, Cumbria, England! It's been a wonderful, unexpectedly sunny evening here in northern England... so what a superb shot to end today. Nothing finer than the glorious British countryside in my opinion. It's also a good excuse to plug our sister page @lake.district where there are oodles more pictures like this from Cumbria. I always think of the wonderful Beatrix Potter who was so influenced by this beautiful landscape when I visit. I grew up reading about Peter Rabbit, Jemima Puddle-Duck and friends, whilst skipping rocks in the lakes. Beatrix Potter herself spent many childhood holidays in the Lake District, and with the proceeds from the books and a legacy from an aunt, in 1905 Potter bought Hill Top Farm in Near Sawrey, a village in the Lake District. Over the following decades, she purchased additional farms to preserve the unique hill country landscape. Potter was also a prize-winning breeder of Herdwick sheep and a prosperous farmer keenly interested in land preservation. It's fair to say without her, this land would look very different. She saved so many farms and the views we take for granted today. A wonderfully influential woman, way ahead of her time. Super shot by @dan.thwaites 🇬🇧 Want your Photos of Britain to be featured? Follow us and then add the tag #photosofbritain and tag us in the picture too! 🇬🇧"
ukbigandsmall,2017-04-11,PETER RABBIT既PRODUCT一向唔多，好難得英國官方會出以佢做主角既紀念幣，機會難逢，想要就揾我地啦！如果官方缺貨，我地就買唔到架啦！ 📱💰問價請DM or WhatsApp us thx📱 嚟緊都會推出唔同既優惠，唔想錯失任何既優惠就記得LIKE我地FB/ FOLLOW IG啦！ #英國代購 #彼得兔 #peterrabbit #peterrabbithk #tedbaker代購 #英國直送 #英倫 #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #disney代購 #迪士尼 #彼得兔紀念幣 #紀念幣
ukbigandsmall,2017-04-11,得閒做下優惠先，之前都要$300，依家至12/4只需$250咋！之前客人收到實物話好靚，質料好好，優惠完就會貴返架啦！想要就揾我哋啦！ 嚟緊都會推出唔同既優惠，唔想錯失任何既優惠就記得LIKE我地FB/ FOLLOW IG啦！ #英國代購 #彼得兔 #peterrabbit #peterrabbithk #tedbaker代購 #英國直送 #英倫 #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #disney代購 #迪士尼 #彼得兔紀念幣 #紀念幣
pp_little_shop,2017-04-11,🇯🇵日本原單PeterRabbit🐰 簡約文青仙女風間條短襪🌿 👍🏻純綿超級舒服👍🏻 🎈Free Size 適合3️⃣5️⃣➖3️⃣9️⃣碼 🌈三色入 ▪️黑色 ▫️灰色 ▪️粉紅色 🔥夏日火辣價 一對2️⃣0️⃣ 四對6️⃣0️⃣ 📱whatsapp/igdirect #襪 船襪 #短襪 #襪子控 #pp襪 #peterrabbit #兔仔 #彼得兔 #仙女 #氣質 #文青 #面交 #郵寄 #onlineshopping
pp_little_shop,2017-04-11,🇯🇵日本原單PeterRabbit🐰 簡約文青仙女風間條短襪🌿 👍🏻純綿超級舒服👍🏻 🎈Free Size 適合3️⃣5️⃣➖3️⃣9️⃣碼 🌈三色入 ▪️黑色 ▫️灰色 ▪️粉紅色 🔥夏日火辣價 一對2️⃣0️⃣ 四對6️⃣0️⃣ 📱whatsapp/igdirect #襪 #船襪 # 短襪 #pp襪 #peterrabbit #彼得兔 #🐰 # 文青 #socks #hkig #面交 #郵寄 #onlineshopping
dux_market,2017-04-11,"英國推出 Peter Rabbit 紀念硬幣 50p 為人熟悉的 Peter Rabbit 紀念硬幣將已推出，而家本店已經可以訂購 其後將陸續推出其他角色, 請留意本店update 極具收藏價值！ 本店價$160 #英國代購 #日本代購 #歐洲代購 #peterrabbit #彼得兔 #紀念幣 #50p #royalmint #英磅 #英國紀念幣 #bucoin #beatrixpotter"
fen_fen_wang,2017-04-10,遇見彼得兔 #走入小彼得兔的世界#新竹生活美學館 #彼得兔#peterrabbit #instacute#instaart#instalife
kikusellcloth,2017-04-09,日本直購 彼得兔綿襪 短襪$12一對 長襪$18 一對 #彼得兔 #peterrabbit #襪 #短襪 #長襪
ukbigandsmall,2017-04-06,嚟緊都會推出唔同既優惠，唔想錯失任何既優惠就記得LIKE我地FB/ FOLLOW IG啦！ 打響頭炮既有PETER RABBIT，依幾日訂購平好多啊，12/4截單，睇岩就揾我地啦！ #newlookhk #英國代購 #彼得兔 #peterrabbit #bootea代購 #星戰 #peterrabbithk #starwarshk #tedbaker代購 #英國直送 #英倫 #jomalonehk #tsumtsumhk #hktsumtsum #hkdisney #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #newtsumtsum #disney代購 #迪士尼 #灰姑娘 #cinderellatsumtsum #美人魚 #彼得兔紀念幣 #紀念幣
ukbigandsmall,2017-04-06,新鮮出爐既2017年特別版PETER RABBIT紀念幣啊！ 依款係最新出既，上年果款係大頭，今年出埋全身，更顯佢嘅活潑精靈，好得意啊，兩款都好靚！ 之前買左150週年特別版既FANS，又點能夠唔儲埋2017年特別版呢！ PETER RABBIT既PRODUCT一向唔多，好難得英國官方會再出以佢做主角既紀念幣，機會難逢，想要就揾我地啦！如果官方缺貨，我地就買唔到架啦！ 新舊客人，只要喺依3日內(5/4-7/4)落單，一律減$20，人人有份！ #英國代購 #彼得兔 #peterrabbit #情人節禮物 #星戰 #peterrabbithk #starwarshk #tedbaker代購 #英國直送 #英倫 #tsumtsum #tsumtsumhk #hktsumtsum #hkdisney #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #newtsumtsum #disney代購 #迪士尼 #灰姑娘 #cinderellatsumtsum #美人魚 #復仇者聯盟 #彼得兔紀念幣 #紀念幣
lil_d1230,2017-04-06,是🐭是🐰 #傻傻分不清楚 #彼得兔 #天竺鼠
ukbigandsmall,2017-04-05,新鮮出爐既2017年特別版PETER RABBIT紀念幣啊！ 依款係最新出既，上年果款係大頭，今年出埋全身，更顯佢嘅活潑精靈，好得意啊，兩款都好靚！ 之前買左150週年特別版既FANS，又點能夠唔儲埋2017年特別版呢！ PETER RABBIT既PRODUCT一向唔多，好難得英國官方會再出以佢做主角既紀念幣，機會難逢，想要就揾我地啦！如果官方缺貨，我地就買唔到架啦！ 新舊客人，只要喺依3日內(5/4-7/4)落單，一律減$20，人人有份！ #彼得兔 #peterrabbit #情人節禮物 #星戰 #peterrabbithk #starwarshk #tedbaker代購 #英國直送 #英倫 #英國代購 #tsumtsum #tsumtsumhk #hktsumtsum #hkdisney #disneyhk #disneytsumtsum #jackwills代購 #小魚仙 #彼德兔 #newtsumtsum #disney代購 #迪士尼 #灰姑娘 #cinderellatsumtsum #美人魚 #復仇者聯盟 #彼得兔紀念幣 #紀念幣
ukbigandsmall2.0,2017-04-05,新鮮出爐既2017年特別版PETER RABBIT紀念幣啊！ 依款係最新出既，上年果款係大頭，今年出埋全身，好得意啊，兩款都好靚！ 之前買左150週年特別版既FANS，又點能夠唔儲埋2017年特別版呢！ PETER RABBIT既PRODUCT一向唔多，好難得英國官方會再出以佢做主角既紀念幣，機會難逢，想要就揾我地啦！如果官方缺貨，我地就買唔到架啦！ 新舊客人，只要喺依3日內(5/4-7/4)落單，一律減$20，人人有份！ #peterrabbithk #peterrabbit公仔 #彼得兔紀念幣 #彼得兔 #彼得兔代購 #彼得兔公仔 #英國代購
ukbigandsmall2.0,2017-04-05,新鮮出爐既2017年特別版PETER RABBIT紀念幣啊！ 依款係最新出既，上年果款係大頭，今年出埋全身，好得意啊，兩款都好靚！ 之前買左150週年特別版既FANS，又點能夠唔儲埋2017年特別版呢！ PETER RABBIT既PRODUCT一向唔多，好難得英國官方會再出以佢做主角既紀念幣，機會難逢，想要就揾我地啦！如果官方缺貨，我地就買唔到架啦！ 新舊客人，只要喺依3日內(5/4-7/4)落單，一律減$20，人人有份！ #peterrabbithk #peterrabbit公仔 #彼得兔紀念幣 #彼得兔 #彼得兔代購 #彼得兔公仔 #英國代購
luckygrass0817,2017-04-03,開拼~~ 這是第一幅彼得兔拼圖， 本來是要買幾米的， 但是一抬頭被牆上掛的這幅吸引， 完全被拼圖中間的一隻鴨子命中😂😂😂 #拼圖 #雷諾瓦 #彼得兔 #peterrabbit
peitzwu,2017-04-01,生女兒真的會失心瘋 #vera #小Vera #taichung #taiwan #中友百貨 #奇哥 #彼得兔 #PlPPY
shiwinwu,2017-03-30,本來只是為了殼子買的 沒想到餅乾卻意外的好吃😋 上課不能滑手機 只能吃吃餅乾🍪消磨時間 還沒吃爽一盒就沒了🐣 #波特小姐牛奶黑巧克力酥餅 #🍪 #零食 #誠品書店 #usc #hitea #teatime #治癒 #療癒 #可愛 #cute #彼得兔
veni_julia_nails,2017-03-29,💅🏻Line ID :veni_julia みなさん🍥～彼得兔第2彈、下次會不會把花園都畫出來？ㄎㄎㄎ～～最近再整裡店裡、到時再跟大家分享、🍥我的巴洛克風工作室🍥❤️～～～ #veni_julia#凝膠彩繪#美甲#美甲工作室#line熊大#指甲油#Nails#全て手さか描きで#ナイル#光療#指甲彩繪#ME&WE#彼得兔
ukbigandsmall,2017-03-28,嚟緊都會推出唔同既優惠，唔想錯失任何既優惠就記得LIKE我地FB/ FOLLOW IG啦！ 打響頭炮既有PETER RABBIT，依幾日訂購平好多啊，睇岩就揾我地啦！
lee.shop.uk,2017-03-27,"[客人好評😍] 其實功勞在於我Partner, 多謝客人支持😊 Jack Wills 藍綠色減價款銀包仲有現貨😘 想要就快啲搵我啦😁 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #cathkidston代購 #longchamp代購 #Lego代購 #英超代購 #brickheadz #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #香港 #igshop #hkshop #hkshopping"
peiyun0210,2017-03-21,這個房間真的是太可愛惹惹❤️❤️ 根本拍到一個爽爽😍 #彼得兔 #清境
222shysme_,2017-03-19,#橙花#嬌蘭#彼得兔
lee.shop.uk,2017-03-17,"第五團出發🇬🇧✈🇭🇰 又多到寄唔曬, 下星期再寄!! 🙌 突然想講, 做代購真係唔容易, 仲係新手, 訂貨量唔多, 唯有親身去門店自取慳運費, 你話放工去攞咪得~ 係㗎~好彩可以5:30準時放工嘅話, 都可以襯D鋪頭6:00收檔之前撲到去嘅, 又或者Lunch time快快手扒完盒飯撲過去再返轉頭🏃返到屋企煮飯洗衫之後再mark貨包貨, 第二朝提早出門去郵局寄📦然後每日Track住D貨, 寄到香港先至放心😃付出咗心機時間同腳骨力賺取微薄利潤之後, 客人棄單...😢李太都係想幫大家代購, 大家開心, 自己開心🤗嚟緊工作會忙到天昏地暗, 盡量會週末先寄貨, 希望客人體諒😘最鍾意有禮貌同快入數嘅客😍呢個星期就遇到好幾個💕多謝你睇到呢度!😄 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #cathkidston代購 #longchamp代購 #Lego代購 #英超代購 #brickheadz #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #香港 #igshop #hkshop #hkshopping"
kay6208,2017-03-17,很享受/想瘦 誰要幫我介紹DJ #開心就好 #規劃未來 #豆腐鯊 #莫名的 #依莎貝爾 #彼得兔 #紅色口紅 #20170317 #倒數217天
chibiusa_store,2017-03-16,🐰英國直送🐰🇬🇧🇬🇧🇬🇧 Mark & Spencer Peter rabbit comforter blanket 英國馬莎彼得兔嬰兒安撫巾 · 質地軟熟，造型咁可愛嘅彼得兔絕對係陪伴小朋友入睡嘅好幫手🌙👶🏻🐰💤💤 香港馬莎無得賣㗎～ · 斯里蘭卡製造，約18x8x7cm，$188 數量有限，歡迎查詢🙇🏻🙇🏻‍♀️ ———————————————————— 🈺WhatsApp: 68971204 💻https://m.facebook.com/chibiusastore 📧: chibausastore@yahoo.com.hk #豆釘兔雜貨鋪 #chibiusastore#peterrabbit##markandspencer #babycomforter#blanket#nursery#giftforbaby#comforter#安撫巾#嬰兒用品#彼得兔#英國直送#bb用品#hkig#hkigstore#hkigshop#hkbaby#hkbabygirl#hkbabyboy#hkbabies
judybear777,2017-03-15,20170315 / JudyBear小日常 學生給我彼得兔的DM～可愛～ #judybear #judybear的亮晶晶小日子 #life #小日常#彼得兔 #可愛い
veni_julia_nails,2017-03-14,💅🏻Line ID :veni_julia 誰說漸層只限於粉嫩～～夢幻！！其實也可以很華麗登場💋、美的嫑嫑的😊😊😊喜歡華麗漸層風、來找Julia吧～～～（謝謝我的女神安久啦的直播）👍 #veni_julia#凝膠彩繪#美甲#美甲工作室#line熊大#指甲油#Nails#全て手さか描きで#ナイル#光療#指甲彩繪#ME&WE#彼得兔
ukbigandsmall,2017-03-13,消失左一排既彼得兔又返嚟啦！由今日起至到16/3訂購，都有優惠啊！ 上一團有客人帶左佢返屋企後，好好咁幫佢影左相仲主動SEND俾店主，依位客人好有心，仲俾左COMMENT我地！店主好感動呢，多謝你啊！ 雖然已經唔係第一次聽到客人讚我地代購既野實物靚過得意過相架啦，讚美既說話店主唔會嫌多呢！啲野始終都喺英國買，再一次證明左喺英國買野係好放心，質素亦有一定既保證啦！
veni_julia_nails,2017-03-12,💅🏻Line ID :veni_julia 隨手拿了ㄧ本書～～又很隨性的拿起畫筆～～妳們說像不像膩～～～🤗🤗🤗 Do you like?? #veni_julia#凝膠彩繪#美甲#美甲工作室#line熊大#指甲油#Nails#全て手さか描きで#ナイル#光療#指甲彩繪#ME&WE#彼得兔
songtingxuan_,2017-03-12,: 20170312 竟在蘭展遇見我的愛🐰🐰 #Taiwan #Tainan #臺南 #後壁 #2017臺灣國際蘭展 #蘭 #蘭花 #彼得兔
jiaxin_wu_,2017-03-12,🐰彼得兔系列太可爱惹！🐰麻麻我想把它们都带回家啊啊啊qwq#peterrabbit #彼得兔
zhi_book,2017-03-11,4/23 新竹生活美學館 《走入小兔彼得的世界-波特女士誕辰150周年巡迴展》系列活動—親子手工繪本工作坊 - 這次安排親子先各自獨立畫一部分，再一起討論完成整本。希望親子之間能保有個體的獨特性，同時也能傾聽、協調、合作。 #picturebook #book #bookbinder #書#製本 #親子 #繪本 #新竹 #走入小兔彼得的世界 #彼得兔
bobbieboxes,2017-03-11,#fabricfromjapan #peterrabbit #rabbits #japan #fabric #blue #pink #oxford #布 #日本 #彼得兔 #藍 #粉紅
lee.shop.uk,2017-03-10,"第四團出發🇬🇧✈🇭🇰 大家久等喇!! 多謝大家支持!!❤ 差唔多晚晚OT, 有時覆遲咗, 多謝體諒~~😘 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #cathkidston代購 #longchamp代購 #Lego代購 #英超代購 #brickheadz #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #香港 #igshop #hkshop #hkshopping"
lee.shop.uk,2017-03-10,英國彼得兔50p硬幣!! 到咗喇😁如果想要就搵我啦~ 😊 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #peterrabbit #peterrabbithk #紀念幣 #英國皇家 #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #正品代購 #香港 #igshop #hkshop #hkshopping
shijunren,2017-03-09,#文具爆買王 #手帳 #手刻章 #彼得兔 #吸毒 #色鉛筆 #施德樓
nameko2012,2017-03-06,* 彼得兔咖啡一定要有彼得兔作陪🐰 牆上的圖案讓人想念起湖區，你懂的。 * #彼得兔#PeterRabbitCafe#PeterRabbitGardenCafe #PeterRabbit#ピーターラビット #GardenCafe#ピーターラビットカフェ
nameko2012,2017-03-06,* 自由之丘的散步當然少不了一頓午茶， 雖然這裡的午茶選擇多如天上繁星， 但我依舊支持彼得兔🐰 * #彼得兔#PeterRabbitCafe#PeterRabbitGardenCafe #PeterRabbit#ピーターラビット #GardenCafe#ピーターラビットカフェ
ukbigandsmall,2017-03-05,等左好耐，終於等到佢特價啦 不過，唔知佢幾時會完優惠 佢一完左優惠，就會變返正價 所以，睇岩就買啦，錯過左就要捱貴價架啦！ 之前都要$300，依家訂購只係$260咋！
lee.shop.uk,2017-03-03,"收到呢個Message 真係好開心💕 其實兼顧工作家務生活...各方面, 一啲都唔容易, 多謝支持, 李太會努力😘 Have a great weekend ❤ 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #longchamp代購 #Lego代購 #英超代購 #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #正品代購 #香港 #igshop #hkshop #hkshopping"
whosaysmaybe,2017-03-03,#彼得兔 #🎀
whosaysmaybe,2017-03-03,#彼得兔
fifion_0829,2017-03-02,食飯前認識既朋友🐰 #rabbit#peterrabbit#彼得兔#拉麵#travel#trip#osaka#japan#うさぎ#ラーメン#肉多的拉麵最正#說好的做姊妹已byebye#おいしい
dicdicbb_shop,2017-03-02,Peter Rabbit 彼得兔 放廚具用品 日本購入 100%全新 有包裝及紙盒 在日本網站亦有售，是最新產品 但連稅項要2700 Yen，現在＄150就可擁有 非常超值 #工藝品 #家品 #廚房用品# 筷子筒 #搪瓷#japanstyle#日本#peterrabbit#彼得兔#兔子#玫瑰花
lee.shop.uk,2017-03-01,好多人搵緊英國彼得兔50p硬幣!! 李太都幫朋友訂咗😁如果你想要就搵我啦~ 😊 歡迎查詢😉 Whatsapp +852 9519 5626 #英國代購 #英國直送 #hkig #hkigstore #hkigshop #jackwills代購 #hollister代購 #Harrods代購 #tedbaker代購 #彼得兔 #peterrabbit #peterrabbithk #紀念幣 #英國皇家 #代購 #團購 #英國 #uk #男朋友 #女朋友 #正貨 #生日禮物 #禮物 #名牌 #正品 #正品代購 #香港 #igshop #hkshop #hkshopping
jaijai_lover,2017-02-25,Timothy Hay Cake--AppleBanana flavor <<蘋果香蕉味香草生日蛋糕>> 材料：提摩草草碎、蘋果香蕉味草粉、蘿蔔苗、士多啤梨葉和水 相片中是進行風亁中......💨💨💨 不知道壽星仔和小女友喜不喜歡？！ #peterrabbit #petsbirthdaycake #彼得兔 #petbirthdaycake #jemimapuddleduck
jaijai_lover,2017-02-25,<<壽星侏>> 仔仔的表情跟昨晚相比完全不一樣。😆 兔媽媽：希望你會喜歡媽媽為你製作的草製蛋糕。只希望你身體健康、開心快樂。 仔仔（微笑）：好香的草味💕💕我今天6歲了✨我希望今天可以和小雪一起去有草地的地方啊！ #peterrabbit #petsbirthdaycake #彼得兔 #petbirthdaycake #JemimaPuddleDuck #jemimapuddleduck
ying.c_,2016-11-08,希望能有多一點力量🙏這個糖果超QQ #peterrabbit #popyummy #彼得兔 #牛奶糖
pinkiroo,2017-02-24,我一定要夾到！！！🐰🐰🐰💕 #彼得兔 #吊飾 感覺比正版的還可愛😂👍🏻
rikorill,2017-02-24,波特小姐150週年 #beatrixpotter #限定 #彼得兔 #食物 #好吃 #蛋捲 #糖果
aaron_chen_0615,2017-02-24,好想把這隻彼得兔帶回家喔 覺得大大的東西都很可愛 #토끼정#토끼#피터래빗#일상#귀여운척#좋다그램#좋아요💕#동상#재밌어요#사진기록#크다커#大きい#ピーターラビット#ウサギ#デイリー#かわいい#彼得兔#可愛#雕像#日常#兔子兔子
twfoodmonster,2017-02-16,"🌍小食怪征服#BonnyBraeGuestHouse 某個假日跟朋友去了英國北部靠近蘇格蘭的---湖區📌它也是#彼得兔 的故鄉喔🐰是一個非常夢幻的地方🏠旺季是夏天，所以以為會像我們在現在這麼冷的天氣去的人應該不多，沒想到其實還是有很多遊客❗️而且除了冷一點之外天空其實很藍很晴朗☀️每張照片都像畫一樣美😫然後在這邊推薦一下我們入住的民宿Bonny Brae Guest House🏠離車站近、老闆娘人好、房間舒適、重點是附的早餐超~級~好~吃~😋入住當天老闆娘就會給你一張單子讓你選擇隔天的早餐，朋友選了英式早餐，小食怪則是選燻鮭魚蛋馬芬🇬🇧但除了主餐之外還有牛奶、茶、麥片、水果自助，所以每天都把自己飽到不用吃午餐😂😂😂 (p.s. 黑黑的那塊是蘇格蘭的haggis👉🏻使用羊肉、內臟、洋蔥、燕麥...等食材在羊的胃袋烹煮而成，概念很像台灣的豬血糕，但沒有那麼扎實跟Q這樣) - Escaped London and went to Lake District for a weekend🚄 It was cold during this time but the sun was out🌞 Lovely place with lovely weather💕 We stayed at Bonny Brae Guest House for two nights, and had to share the breakfast because it was amazing😍 - Twin Room🏠£75.00/night 👉🏻Price subject to change - Bonny Brae Guest House📌 📞015394 22699 📮11 Oak St, Windermere LA23 1EN - 美食🐷For Food #twfoodmonster #twfoodmonster_unitedkingdom #twfoodmonster_england #twfoodmonster_windermere #twfoodmonster_lakedistrict - 旅遊✈️For Travel #msmay_unitedkingdom #msmay_lakedistrict - #湖區美食 #湖區 #英國美食 #英國 #英國打工度假 #windermere #lakedistrictfood #lakedistrict #uk #ukfood #england #unitedkingdom #ukworkingholiday"
mana_hk_tw,2017-02-14,包裝盒都好古錐💕💕我們也買了太多了吧ㄎㄎ😂😂😂 #巧克力 #彼得兔 #peterrabbit #情人節快樂 #ピーターラビット #happyvalentines #chocolate
mana_hk_tw,2017-02-14,我跟媽媽一起送給爸爸的巧克力☺💕 彼得兔超可愛噠😍😍嘻嘻 #巧克力 #彼得兔 #peterrabbit #ピーターラビット #情人節快樂 #happyvalentines #chocolate
bluehippox,2017-02-11,藍河馬x 全新 版日 彼得兔 Peter Rabbit 公仔 SIZE:高約47cm (連耳) HKD$320 有意請留言 Line/wechat id:bluehippox Whatsapp:+852 93043776 網店有更多精品，歡迎參觀 http://goo.gl/b1usLc Worldwide shipping Accept paypal 於台灣奇摩拍賣亦設有商戶 並設有台灣銀行戶口 可郵寄至台灣 #彼得兔公仔 #PeterRabbit公仔 #彼得兔 #PeterRabbit #情人節 #情人節禮物 #ピーターラビット #TheTaleofPeterRabbit #rabbit #theworldofpetertabbit #hkigshop #hkigstore #igshop #hkigseller #hkseller #hkiger #hkonlineshop #hkigshopping #852onlineshop #instagood #luxury #shopping #onlineshopping #dark #lovely #cute #香港 #台灣 #澳門 #藍河馬x
pb.affair,2017-02-08,🐰🐻 #彼得兔 #peterrabbit #うさぎ #피터래빗 #ピーターラビット #刺繍 #자수 #パディントン #paddingtonbear #クマ
shoppingaworld,2017-02-07,. ✨#彼得兔 #peterrabbit ✨ . 💖餐具 系列💖 . .好afternoon tea feel啊 😍 .1款（6碟入，5小一大） .超級超級抵！！~ .尺寸：甜品碟size+蛋糕size😘 .日本製～日本直送 . . .🎏預訂哦🎈 . .💲HKD198@1套 .💲TWD792@1套 . . 。 ✂--------------------------------------------------- 香港🇭🇰台灣🇹🇼均可訂購 ✂--------------------------------------------------- Fb 專頁 : Shoppingaworld .👆更多相片，請看fb page🤗 ✂--------------------------------------------------- 📌聯絡購買： 📲What app : 97148372 💻Line ID：nwying3303 ✂------------------------------------------------------- 📍交收方式： 📎自費郵寄📮 📎順豐到付📦 📎見面交收🤝 ✂-------------------------------------------------------- 📌交收時間： 📅面交：逢星期五/六 📫郵寄：逢星期六 ✂-------------------------------------------------------- 📍付款方式： 💰銀行轉帳🏧 💵E banking💻 💸銀行櫃臺🏦 💰台灣銀行🏦 💴支付寶轉帳💻 . ✏----------------------------------------------------------------------- 。 。 #日本代購#日本迪士尼代購#日本迪士尼#美女與野獸 #Disney #Disneyjapan #japan #usagi #Disneyland #迪士尼#愛麗斯 #Disneysea代購 #alice #aliceinwonderland #p助#妙妙貓#美人魚 #kanahei#winniethepooh#kanahei的小動物#貓
